marketType,datetime,total_net_in,total_in,total_out,today_in,grand_total_in,today_balance,stock_code,stock,stock_up,sz_index,sz_index_percent
1,2021/3/31,-20.09,219.72,239.81,-8.9,6588.98,528.9,"	601158",重庆水务,10.05,3441.91,-0.43
1,2021/3/30,43.33,246.3,202.97,55.76,6609.07,464.24,"	600273",嘉化能源,10.06,3456.68,0.62
1,2021/3/29,-26.4,220.15,246.55,-15.64,6565.74,535.64,"	600917",重庆燃气,10.04,3435.3,0.5
1,2021/3/26,16.53,256.12,239.59,26.7,6592.14,493.3,"	600917",重庆燃气,10.03,3418.33,1.63
1,2021/3/25,19.97,220.09,200.13,29.98,6575.61,490.02,"	600917",重庆燃气,10.05,3363.59,-0.1
1,2021/3/24,55,260.59,205.59,65.27,6555.64,454.73,"	601016",节能风电,10.06,3367.06,-1.3
1,2021/3/23,-30.96,208.85,239.81,-21,6500.65,541,"	601456",国联证券,10.03,3411.51,-0.93
1,2021/3/22,24.06,240.24,216.18,36.14,6531.6,483.86,"	600452",涪陵电力,10,3443.44,1.14
1,2021/3/19,-23.97,280.12,304.09,-3.76,6507.54,523.76,"	601991",大唐发电,10.08,3404.66,-1.69
1,2021/3/18,19.59,232.89,213.3,29.87,6531.52,490.13,"	600507",方大特钢,10.03,3463.07,0.51
1,2021/3/17,-24.56,214.61,239.17,-13,6511.92,533,"	600507",方大特钢,10.03,3445.55,-0.03
1,2021/3/16,21.79,239.4,217.62,32.93,6536.48,487.07,"	600956",新天绿能,10.04,3446.73,0.78
