marketType,date_time,code,name,close,changePercent,rank,net_in,in,out,total
1,2020/1/2,"	600519",贵州茅台,1130,-4.4801,1,-5.03,15.69,20.72,36.41
1,2020/1/2,"	601318",中国平安,86.12,0.7723,2,4.53,7.73,3.2,10.93
1,2020/1/2,"	600036",招商银行,38.88,3.4593,3,4.28,6.28,2,8.28
1,2020/1/2,"	600030",中信证券,25.49,0.751,4,-1.2,3.53,4.73,8.27
1,2020/1/2,"	600276",恒瑞医药,87.68,0.1828,5,0.99,4.24,3.25,7.49
1,2020/1/2,"	601668",中国建筑,5.91,5.1601,6,3.56,4.41,0.85,5.26
1,2020/1/2,"	600048",保利地产,16.26,0.4944,7,1.95,3.59,1.64,5.23
1,2020/1/2,"	601166",兴业银行,20.21,2.0707,8,3.05,3.97,0.93,4.9
1,2020/1/2,"	600887",伊利股份,31.75,2.618,9,1.14,2.94,1.81,4.75
1,2020/1/2,"	600031",三一重工,17.95,5.2786,10,0.15,2.31,2.17,4.48
3,2020/1/2,"	000651",格力电器,67.9,3.5377,1,7.28,9.2,1.92,11.13
3,2020/1/2,"	000858",五粮液,132.08,-0.6992,2,0.31,4.4,4.1,8.5
3,2020/1/2,"	002415",海康威视,33.91,3.5736,3,2.54,4.75,2.21,6.95
3,2020/1/2,"	000002",万科A,32.56,1.1809,4,1.22,3.92,2.71,6.63
3,2020/1/2,"	002475",立讯精密,37.6,3.0137,5,0.46,3.49,3.03,6.52
3,2020/1/2,"	000333",美的集团,59.75,2.5751,6,0.26,3.21,2.95,6.16
3,2020/1/2,"	002714",牧原股份,91.82,3.4125,7,1.44,3.43,1.98,5.41
3,2020/1/2,"	000001",平安银行,16.87,2.5532,8,2.56,3.69,1.13,4.81
3,2020/1/2,"	000725",京东方A,4.61,1.5419,9,2.06,3.32,1.26,4.58
3,2020/1/2,"	002027",分众传媒,6.53,4.3131,10,-0.4,1.76,2.16,3.93
1,2020/1/3,"	600519",贵州茅台,1078.56,-4.5522,1,-14.83,11.94,26.77,38.7
1,2020/1/3,"	601668",中国建筑,5.98,1.1844,2,6.47,7.7,1.23,8.93
1,2020/1/3,"	601318",中国平安,86.2,0.0929,3,3.62,5.77,2.14,7.91
1,2020/1/3,"	600276",恒瑞医药,85.95,-1.9731,4,1.17,3.66,2.49,6.16
