marketType,date_time,rank,code,name,close,changePercent,net_in,in,out,total
2,2020/1/2,1,"	00700",腾讯控股,382.4,1.8104,4.2,5.76,1.56,7.33
2,2020/1/2,2,"	01918",融创中国,48.9,5.0483,2.82,4.87,2.05,6.93
2,2020/1/2,3,"	00939",建设银行,6.8,1.0401,-2.09,2.3,4.39,6.69
2,2020/1/2,4,"	00981",中芯国际,12.7,6.3652,3.94,5.11,1.17,6.29
2,2020/1/2,5,"	02020",安踏体育,70.1,0.5018,-3.73,0.96,4.69,5.65
2,2020/1/2,6,"	03968",招商银行,41.25,2.9963,-2.65,1.22,3.87,5.09
2,2020/1/2,7,"	02318",中国平安,93.65,1.683,-3.23,0.47,3.7,4.18
2,2020/1/2,8,"	01398",工商银行,6.05,0.8333,-0.88,1.38,2.26,3.64
2,2020/1/2,9,"	02382",舜宇光学科技,139,3.0393,0.6,2.01,1.41,3.42
2,2020/1/2,10,"	01810",小米集团-W,11.22,4.0816,1.81,2.5,0.68,3.18
2,2020/1/3,1,"	00939",建设银行,6.72,-1.1765,-1.18,3.09,4.27,7.36
2,2020/1/3,2,"	00700",腾讯控股,383,0.1569,1.18,3.93,2.75,6.68
2,2020/1/3,3,"	03968",招商银行,41.3,0.1212,-0.23,2.12,2.35,4.48
2,2020/1/3,4,"	02382",舜宇光学科技,135.2,-2.7338,0.26,2.06,1.8,3.85
2,2020/1/3,5,"	01810",小米集团-W,10.9,-2.852,1.8,2.54,0.74,3.28
2,2020/1/3,6,"	01398",工商银行,6,-0.8264,1.72,2.35,0.63,2.97
2,2020/1/3,7,"	00981",中芯国际,12.64,-0.4724,1.3,1.97,0.67,2.64
2,2020/1/3,8,"	01918",融创中国,47.85,-2.1472,-0.25,1.19,1.44,2.63
2,2020/1/3,9,"	00175",吉利汽车,15.76,1.0256,0.73,1.47,0.74,2.2
2,2020/1/3,10,"	02018",瑞声科技,66.7,-4.7143,0.52,1.35,0.83,2.18
2,2020/1/6,1,"	00939",建设银行,6.65,-1.0417,-0.94,3.68,4.62,8.29
2,2020/1/6,2,"	00700",腾讯控股,377.4,-1.4621,0.53,3.41,2.87,6.28
2,2020/1/6,3,"	01918",融创中国,46.2,-3.4483,0.66,2.57,1.91,4.48
2,2020/1/6,4,"	01810",小米集团-W,10.98,0.7339,2.26,2.89,0.63,3.52
