company_code,company_shortName,stock_code,stock_name,havein_mycomanpy_fund,hold_in_value_percent,stock_amount,stock_value
80365985,北信,"	603678",火炬电子,4,1.90%,228.85,"13,160.96"
80365985,北信,"	002651",利君股份,2,1.81%,"1,239.90","12,584.99"
80365985,北信,"	600893",航发动力,2,1.47%,224,"10,212.16"
80365985,北信,"	600765",中航重机,2,1.14%,448,"7,880.32"
80365985,北信,"	002949",华阳国际,2,1.07%,360,"7,452.00"
80365985,北信,"	300696",爱乐达,2,1.00%,158,"6,934.40"
80365985,北信,"	002027",分众传媒,1,0.67%,500,"4,640.00"
80365985,北信,"	688002",睿创微纳,1,0.64%,50,"4,435.00"
80365985,北信,"	605123",派克新材,2,0.64%,70,"4,429.60"
80365985,北信,"	002139",拓邦股份,2,0.63%,394.9,"4,363.65"
80560407,朱雀,"	002311",海大集团,11,5.71%,"1,487.79","116,047.27"
80560407,朱雀,"	601012",隆基股份,10,5.56%,"1,283.81","112,975.27"
80560407,朱雀,"	00700",腾讯控股,11,5.42%,213.94,"110,298.86"
