company_code,company_shortName,fund_name,fund_code
80000236,宝盈,宝盈优势产业混合,	001487
80000236,宝盈,宝盈资源优选混合,	213008
80000236,宝盈,宝盈新锐混合C,	007578
80000236,宝盈,宝盈新锐混合A,	001543
80000236,宝盈,宝盈祥颐定期开放混合A,	006398
80000236,宝盈,宝盈祥颐定期开放混合C,	006399
80000236,宝盈,宝盈祥利稳健配置混合A,	008324
80000236,宝盈,宝盈祥利稳健配置混合C,	008325
80000236,宝盈,宝盈祥泽混合A,	008672
80000236,宝盈,宝盈祥泽混合C,	008673
80000236,宝盈,宝盈祥泰混合A,	001358
80000236,宝盈,宝盈祥泰混合C,	007575
80000236,宝盈,宝盈祥瑞混合A,	000639
80000236,宝盈,宝盈祥瑞混合C,	007577
80000236,宝盈,宝盈新价值混合A,	000574
80000236,宝盈,宝盈新价值混合C,	007574
80000236,宝盈,宝盈消费主题混合,	003715
80000236,宝盈,宝盈核心优势混合A,	213006
80000236,宝盈,宝盈睿丰创新混合C,	000796
80000236,宝盈,宝盈睿丰创新混合A/B,	000794
80000236,宝盈,宝盈核心优势混合C,	000241
80000236,宝盈,宝盈互联网沪港深混合,	002482
80000236,宝盈,宝盈泛沿海增长混合,	213002
80000236,宝盈,宝盈先进制造混合C,	007579
80000236,宝盈,宝盈新兴产业混合,	001128
80000236,宝盈,宝盈先进制造混合A,	000924
80000236,宝盈,宝盈鸿利收益灵活配置混合A,	213001
80000236,宝盈,宝盈鸿利收益灵活配置混合C,	007581
80000236,宝盈,宝盈策略增长混合,	213003
80000236,宝盈,宝盈科技30混合,	000698
80000236,宝盈,宝盈研究精选混合A,	008227
80000236,宝盈,宝盈研究精选混合C,	008228
80000236,宝盈,宝盈转型动力混合,	001075
80365985,北信,北信瑞丰研究精选,	004352
80365985,北信,北信瑞丰稳定增强,	002194
80365985,北信,北信瑞丰兴瑞灵配,	004829
80365985,北信,北信瑞丰丰利混合,	002745
80365985,北信,北信瑞丰华丰灵配,	005376
80365985,北信,北信瑞丰平安中国,	001154
80365985,北信,北信瑞丰新成长,	001866
80365985,北信,北信瑞丰中国智造,	001829
80365985,北信,北信瑞丰鼎丰灵活配置混合,	004557
80365985,北信,北信瑞丰健康生活,	001056
80365985,北信,北信瑞丰量化优选灵活配置,	007808
80365985,北信,北信瑞丰外延增长,	002123
80365985,北信,北信瑞丰产业升级,	168501
80000236,宝盈,宝盈品牌消费股票C,	006676
80000236,宝盈,宝盈品牌消费股票A,	006675
80000236,宝盈,宝盈中证100指数增强A,	213010
