company_code,company_shortName,fund_type,fund_scale,fund_scale_mean,fund_scale_rank,fund_amount,fund_amount_mean,fund_amount_rank,fund_manager_amount,fund_manager_amount_mean,fund_manager_amount_rank
80365985,北信,股票型,1.54,165.01,97/115,2,17.48,91/115,3,5.72,53/115
80000236,宝盈,股票型,53.48,165.01,43/115,14,17.48,37/115,6,5.72,26/115
80050229,上投,混合型,443.98,360.46,31/158,45,34.22,42/158,22,11.59,21/158
80365985,北信,混合型,17.07,360.46,112/158,12,34.22,94/158,7,11.59,80/158
80000236,宝盈,混合型,250.09,360.46,45/158,45,34.22,42/158,13,11.59,52/158
80036782,招商,混合型,936.54,360.46,18/158,110,34.22,10/158,33,11.59,11/158
80036782,招商,股票型,"1,003.69",165.01,5/115,69,17.48,8/115,16,5.72,12/115
80560407,朱雀,混合型,189.12,360.46,53/158,6,34.22,120/158,5,11.59,97/158
80560407,朱雀,股票型,82.50,165.01,36/115,4,17.48,77/115,2,5.72,76/115
80016241,中金公司,混合型,22.51,360.46,107/158,6,34.22,120/158,2,11.59,129/158
80016241,中金公司,股票型,15.65,165.01,64/115,4,17.48,77/115,2,5.72,76/115
80431710,招商证券资管,混合型,5.25,360.46,133/158,2,34.22,145/158,1,11.59,148/158
80431710,招商证券资管,,-,-,-/-,-,-,-/-,-,-,-/-
80560391,中庚,混合型,72.15,360.46,77/158,3,34.22,142/158,2,11.59,129/158
80560391,中庚,股票型,21.97,165.01,57/115,1,17.48,106/115,1,5.72,92/115
80403111,浙商资管,混合型,11.57,360.46,117/158,6,34.22,120/158,3,11.59,113/158
80403111,浙商资管,股票型,1.47,165.01,98/115,4,17.48,77/115,5,5.72,35/115
80508391,中航,混合型,4.20,360.46,135/158,6,34.22,120/158,1,11.59,148/158
80508391,中航,,-,-,-/-,-,-,-/-,-,-,-/-
10000018,中信证券,混合型,495.21,360.46,26/158,18,34.22,86/158,6,11.59,86/158
10000018,中信证券,股票型,9.05,165.01,77/115,2,17.48,91/115,1,5.72,92/115
80455765,中科沃土,混合型,11.56,360.46,118/158,7,34.22,116/158,6,11.59,86/158
80455765,中科沃土,,-,-,-/-,-,-,-/-,-,-,-/-
80381452,中泰资管,混合型,22.37,360.46,108/158,8,34.22,109/158,2,11.59,129/158
80381452,中泰资管,股票型,3.71,165.01,87/115,4,17.48,77/115,1,5.72,92/115
80365986,中金,混合型,44.15,360.46,88/158,20,34.22,82/158,4,11.59,104/158
80365986,中金,股票型,24.58,165.01,53/115,20,17.48,26/115,6,5.72,26/115
80000200,中银国际,混合型,30.33,360.46,100/158,19,34.22,83/158,8,11.59,74/158
80000200,中银国际,股票型,20.65,165.01,60/115,8,17.48,56/115,4,5.72,42/115
80355113,中信建投,股票型,1.33,165.01,100/115,2,17.48,91/115,1,5.72,92/115
80355113,中信建投,混合型,35.30,360.46,93/158,26,34.22,69/158,9,11.59,72/158
80048752,中银,股票型,57.24,165.01,40/115,16,17.48,31/115,6,5.72,26/115
80048752,中银,混合型,625.24,360.46,21/158,92,34.22,14/158,20,11.59,30/158
80351345,中加,混合型,60.74,360.46,78/158,30,34.22,61/158,12,11.59,56/158
80351345,中加,股票型,0.55,165.01,108/115,2,17.48,91/115,1,5.72,92/115
80075936,中邮,混合型,228.33,360.46,48/158,38,34.22,52/158,17,11.59,37/158
80075936,中邮,股票型,0.79,165.01,103/115,4,17.48,77/115,3,5.72,53/115
80341238,中融,混合型,86.13,360.46,72/158,47,34.22,39/158,21,11.59,25/158
80066470,中信保诚,混合型,362.79,360.46,35/158,47,34.22,39/158,15,11.59,44/158
80066470,中信保诚,股票型,43.53,165.01,44/115,11,17.48,44/115,3,5.72,53/115
80341238,中融,股票型,6.61,165.01,80/115,12,17.48,40/115,3,5.72,53/115
80156777,浙商,股票型,10.53,165.01,74/115,11,17.48,44/115,4,5.72,42/115
80156777,浙商,混合型,91.16,360.46,71/158,24,34.22,73/158,6,11.59,86/158
80065113,中欧,混合型,"2,501.40",360.46,5/158,124,34.22,8/158,27,11.59,14/158
80065113,中欧,股票型,367.40,165.01,16/115,12,17.48,40/115,6,5.72,26/115
80066058,中信建投证券,混合型,39.75,360.46,91/158,2,34.22,145/158,1,11.59,148/158
80066058,中信建投证券,,-,-,-/-,-,-,-/-,-,-,-/-
80046614,中海,混合型,81.88,360.46,73/158,22,34.22,80/158,11,11.59,64/158
80046614,中海,股票型,13.33,165.01,67/115,2,17.48,91/115,2,5.72,76/115
80000237,银河,混合型,341.05,360.46,36/158,62,34.22,25/158,18,11.59,36/158
80000237,银河,股票型,31.11,165.01,49/115,8,17.48,56/115,5,5.72,35/115
80356155,永赢,混合型,220.50,360.46,51/158,26,34.22,69/158,10,11.59,69/158
80356155,永赢,股票型,15.93,165.01,63/115,9,17.48,52/115,3,5.72,53/115
80046522,益民,混合型,15.08,360.46,113/158,6,34.22,120/158,3,11.59,113/158
80046522,益民,,-,-,-/-,-,-,-/-,-,-,-/-
80280036,圆信永丰,股票型,57.24,165.01,40/115,3,17.48,88/115,1,5.72,92/115
80000229,易方达,混合型,"4,424.38",360.46,1/158,149,34.22,4/158,42,11.59,6/158
80000229,易方达,股票型,"1,985.89",165.01,2/115,81,17.48,5/115,21,5.72,4/115
80175498,英大,混合型,4.36,360.46,134/158,9,34.22,105/158,4,11.59,104/158
80175498,英大,股票型,0.67,165.01,107/115,1,17.48,106/115,1,5.72,92/115
80280036,圆信永丰,混合型,103.61,360.46,69/158,24,34.22,73/158,9,11.59,72/158
80000235,银华,混合型,"1,177.60",360.46,16/158,81,34.22,18/158,37,11.59,7/158
80000235,银华,股票型,250.99,165.01,19/115,42,17.48,17/115,14,5.72,14/115
80368700,兴银,混合型,20.95,360.46,109/158,17,34.22,87/158,8,11.59,74/158
80368700,兴银,股票型,4.49,165.01,84/115,4,17.48,77/115,3,5.72,53/115
80374411,兴证资管,,-,-,-/-,-,-,-/-,-,-,-/-
80374411,兴证资管,混合型,18.62,360.46,110/158,2,34.22,145/158,1,11.59,148/158
80280397,湘财,混合型,12.04,360.46,116/158,10,34.22,103/158,4,11.59,104/158
