company_code,company_shortName,company_name,position,general_manager,website_url,tell,manager_total_asset,fund_amount,manager_amount,publish_date,company_property
80084302,安信证券,安信证券股份有限公司,深圳市福田区金田路与福中三路交汇处安联大厦4层B01、B02(a)号,王连志,www.essence.com.cn,4008-001-001,4.52亿元,0,0,2006/8/22,中资企业 (券商系)
80538609,渤海汇金,渤海汇金证券资产管理有限公司,深圳市前海深港合作区南山街道桂湾五路128号基金小镇对冲基金中心506,麻众志,www.bhhjamc.com,"400-651-5988,400-651-1717",92.49亿元,10,5,2016/5/18,中资企业 (券商系)
80000236,宝盈,宝盈基金管理有限公司,深圳市福田区福华一路115号投行大厦10、11层,杨凯,www.byfunds.com,400-8888-300,591.10亿元,85,15,2001/5/18,中资企业 (信托系)
80365985,北信,北信瑞丰基金管理有限公司,北京市海淀区西三环北路100号光耀东方中心A座6层、25层,朱彦,www.bxrfund.com,400-061-7297,69.40亿元,24,9,2014/3/17,合资企业 (信托系)
80036782,招商,招商基金管理有限公司,深圳市深南大道7088号招商银行大厦28楼,王小青,www.cmfchina.com,400-887-9555,5369.49亿元,335,50,2002/12/27,合资企业 (银行系)
80016241,中金公司,中国国际金融股份有限公司,"香港中环港景街1号国际金融中心第1期29楼,中国北京市朝阳区建国门外大街1号国贸大厦2座27、28层",黄朝晖,www.cicc.com,400-910-1166,40.37亿元,12,5,1995/7/31,中资企业 (券商系)
80560407,朱雀,朱雀基金管理有限公司,上海市浦东新区芳甸路1155浦东嘉里城办公楼3303室,梁跃军,www.rosefinchfund.com,400-921-7211,282.42亿元,12,6,2018/10/25,中资企业
80431710,招商证券资管,招商证券资产管理有限公司,深圳市福田区益田路江苏大厦38层,熊志钢,a0889966.atobo.com.cn,95565,5.25亿元,5,2,2015/4/3,中资企业 (券商系)
80560391,中庚,中庚基金管理有限公司,上海市浦东新区陆家嘴环路1318号星展银行大厦7F 703-704室,孟辉,www.zgfunds.com.cn,021-53549999,94.12亿元,4,2,2015/11/13,中资企业
80403111,浙商资管,浙江浙商证券资产管理有限公司,杭州市江干区五星路201号浙商证券大楼(原明珠国际商务中心1号楼)7楼,盛建龙,www.stocke.com.cn,95345,136.35亿元,25,8,2013/4/18,中资企业 (券商系)
