full_name,code,fund_url,type,publish_date,setup_date_and_scale,asset_scale,amount_scale,company,company_url,bank,bank_url,manager,manager_url,profit_situation,management_feerate,trustee_feerate,standard_compared,followed_target
国投瑞银精选收益灵活配置混合型证券投资基金,	001218,http://fundf10.eastmoney.com/jbgk_001218.html,混合型,2015年04月27日,2015年05月19日 / 27.036亿份,5.60亿元（截止至：2020年03月31日）,7.0112亿份,国投瑞银基金,http://fund.eastmoney.com/company/80000233.html,中国银行,http://fund.eastmoney.com/bank/80001122.html,孙文龙,http://fund.eastmoney.com/manager/30325387.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,沪深300指数收益率×50%+中债综合指数收益率×50%,该基金无跟踪标的
国投瑞银创新动力混合型证券投资基金,	121005,http://fundf10.eastmoney.com/jbgk_121005.html,混合型,2006年10月09日,2006年11月15日 / 14.969亿份,11.55亿元（截止至：2020年03月31日）,16.1357亿份,国投瑞银基金,http://fund.eastmoney.com/company/80000233.html,光大银行,http://fund.eastmoney.com/bank/80001066.html,孙文龙,http://fund.eastmoney.com/manager/30325387.html,每份累计1.26元（13次）,1.50%（每年）,0.25%（每年）,沪深300指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的
博时汇智回报灵活配置混合型证券投资基金,	004448,http://fundf10.eastmoney.com/jbgk_004448.html,混合型,2017年03月08日,2017年04月12日 / 2.511亿份,1.08亿元（截止至：2020年03月31日）,0.6308亿份,博时基金,http://fund.eastmoney.com/company/80000226.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,吴渭,http://fund.eastmoney.com/manager/30276449.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,沪深300指数收益率×80%+中债综合财富(总值)指数收益率×20%,该基金无跟踪标的
博时医疗保健行业混合型证券投资基金,	050026,http://fundf10.eastmoney.com/jbgk_050026.html,混合型,2012年07月23日,2012年08月28日 / 2.769亿份,34.59亿元（截止至：2020年03月31日）,13.2205亿份,博时基金,http://fund.eastmoney.com/company/80000226.html,中国银行,http://fund.eastmoney.com/bank/80001122.html,葛晨,http://fund.eastmoney.com/manager/30574435.html,每份累计0.14元（2次）,1.50%（每年）,0.25%（每年）,中证医药卫生指数×80%+中债指数×20%,该基金无跟踪标的
鹏华产业精选灵活配置混合型证券投资基金,	005812,http://fundf10.eastmoney.com/jbgk_005812.html,混合型,2018年04月12日,2018年05月09日 / 13.326亿份,2.21亿元（截止至：2020年03月31日）,1.7883亿份,鹏华基金,http://fund.eastmoney.com/company/80000230.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,王宗合,http://fund.eastmoney.com/manager/30066292.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,沪深300指数收益率×70%+中证综合债指数收益率×30%,该基金无跟踪标的
平安消费精选混合型证券投资基金,	002598,http://fundf10.eastmoney.com/jbgk_002598.html,混合型,2016年04月25日,2016年06月08日 / 2.574亿份,0.20亿元（截止至：2020年03月31日）,0.1987亿份,平安基金,http://fund.eastmoney.com/company/80168726.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,刘杰,http://fund.eastmoney.com/manager/30479077.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,中证内地消费主题指数收益率×60%+恒生指数收益率(经汇率估值调整)×15%+中债综合指数收益率×25%,该基金无跟踪标的
汇添富优势精选混合型证券投资基金,	519008,http://fundf10.eastmoney.com/jbgk_519008.html,混合型,2005年07月05日,2005年08月25日 / 10.251亿份,21.17亿元（截止至：2020年03月31日）,7.4980亿份,汇添富基金,http://fund.eastmoney.com/company/80053708.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,王栩,http://fund.eastmoney.com/manager/30057297.html,每份累计4.13元（14次）,1.50%（每年）,0.25%（每年）,70%×沪深300指数收益率 + 30%×上证国债指数收益率,该基金无跟踪标的
平安优势产业灵活配置混合型证券投资基金,	006101,http://fundf10.eastmoney.com/jbgk_006101.html,混合型,2018年07月06日,2018年08月22日 / 2.997亿份,3.32亿元（截止至：2020年03月31日）,2.5019亿份,平安基金,http://fund.eastmoney.com/company/80168726.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,黄维,http://fund.eastmoney.com/manager/30341628.html,每份累计0.25元（1次）,1.50%（每年）,0.25%（每年）,沪深300指数收益率×60%+中证全债指数收益率×40%,该基金无跟踪标的
广发多因子灵活配置混合型证券投资基金,	002943,http://fundf10.eastmoney.com/jbgk_002943.html,混合型,2016年11月30日,2016年12月30日 / 2.008亿份,1.35亿元（截止至：2020年03月31日）,0.9161亿份,广发基金,http://fund.eastmoney.com/company/80000248.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,唐晓斌,http://fund.eastmoney.com/manager/30062778.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,中证800指数收益率×65%+中债全债指数收益率×35%,该基金无跟踪标的
工银瑞信养老目标日期2045三年持有期混合型发起式基金中基金(FOF),	007651,http://fundf10.eastmoney.com/jbgk_007651.html,混合-FOF,2019年12月18日,2020年01月21日 / 0.507亿份,0.54亿元（截止至：2020年03月31日）,0.5602亿份,工银瑞信基金,http://fund.eastmoney.com/company/80064225.html,邮储银行,http://fund.eastmoney.com/bank/80093164.html,蒋华安,http://fund.eastmoney.com/manager/30597899.html,每份累计0.00元（0次）,0.90%（每年）,0.20%（每年）,中证800指数收益率×X+中债新综合(财富)指数收益率×(1-X),该基金无跟踪标的
