fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
hh,	005293,诺德新旺,2020-04-24,1.1006,1.1006,0.3831,5.4821,17.0104,4.58,7.6276,14.7534,4.7791,,1.8320,10.06,0.15%,http://fund.eastmoney.com/	005293.html
hh,	007518,东方阿尔法优选混合A,2020-04-24,1.2419,1.2419,-1.3974,5.0855,14.1033,16.7748,24.5388,,,,15.8705,24.1776,0.15%,http://fund.eastmoney.com/	007518.html
hh,	007519,东方阿尔法优选混合C,2020-04-24,1.2380,1.2380,-1.4017,5.0755,14.0594,16.6274,24.2099,,,,15.6793,23.7876,0.00%,http://fund.eastmoney.com/	007519.html
hh,	004448,博时汇智回报灵活配置混合,2020-04-24,1.8309,1.8309,1.1212,4.7126,6.5406,7.1767,19.1992,21.0993,50.8652,83.0717,16.2476,83.09,0.15%,http://fund.eastmoney.com/	004448.html
hh,	001218,国投瑞银精选收益混合,2020-04-24,0.8880,0.8880,-1.1136,4.4706,15.9269,21.1460,35.7798,41.6268,22.1458,27.7698,20.9809,-11.20,0.15%,http://fund.eastmoney.com/	001218.html
hh,	121005,国投瑞银创新动力混合,2020-04-24,0.7949,3.3559,-1.0457,4.3587,15.7734,20.9341,36.5507,39.7041,51.2114,54.8240,20.5048,441.6363,0.15%,http://fund.eastmoney.com/	121005.html
hh,	005358,东方阿尔法精选混合A,2020-04-24,1.1943,1.1943,-1.8088,4.1510,12.8935,11.8677,12.6167,12.3201,21.4954,,9.3481,19.43,0.15%,http://fund.eastmoney.com/	005358.html
hh,	005359,东方阿尔法精选混合C,2020-04-24,1.1812,1.1812,-1.8121,4.1439,12.8391,11.7185,12.3348,11.7608,20.2851,,9.1783,18.12,0.00%,http://fund.eastmoney.com/	005359.html
hh,	161219,国投瑞银新兴产业混合,2020-04-24,2.0640,3.1180,-0.8646,4.0847,12.9103,17.8755,33.5058,47.9570,59.2592,63.6796,18.4845,360.9408,0.15%,http://fund.eastmoney.com/	161219.html
hh,	180020,银华成长先锋混合,2020-04-24,1.5050,1.53,-1.1819,3.9365,17.4864,22.4573,22.9575,35.9531,39.4810,42.5190,20.3037,54.1565,0.15%,http://fund.eastmoney.com/	180020.html
hh,	121006,国投瑞银稳健增长混合,2020-04-24,2.0270,3.1230,-0.8802,3.8954,13.3669,17.7120,31.6234,36.4983,48.0643,51.9762,17.7120,351.6493,0.15%,http://fund.eastmoney.com/	121006.html
hh,	002547,民生加银养老服务混合,2020-04-24,1.6390,1.6390,-0.6064,3.6030,14.2160,7.6165,17.2389,22.4963,46.9955,57.2937,9.6321,63.90,0.15%,http://fund.eastmoney.com/	002547.html
hh,	004836,中融鑫价值混合A,2020-04-24,1.0065,1.0065,-0.1983,3.5174,6.0366,-4.2796,3.7094,7.8662,2.2657,,-2.3385,0.6399,0.15%,http://fund.eastmoney.com/	004836.html
hh,	164403,前海开源沪港深农业混合,2020-04-24,1.3960,1.4160,-0.1431,3.3309,13.5883,25.3143,9.4044,15.4674,43.9175,51.2459,17.0159,42.4847,0.15%,http://fund.eastmoney.com/	164403.html
hh,	002567,大成国家安全主题混合,2020-04-24,1.1520,1.1520,-0.5181,3.1334,8.8847,9.8189,28,38.2953,18.0328,28.7151,22.6837,15.20,0.15%,http://fund.eastmoney.com/	002567.html
hh,	002291,诺安安鑫灵活配置混合,2020-04-24,1.4156,1.4156,0.6327,3.1252,11.5348,11.7638,21.1675,24.1428,41.4751,41.8437,15.4367,41.56,0.15%,http://fund.eastmoney.com/	002291.html
hh,	005004,交银品质升级混合,2020-04-24,1.1076,1.1076,0.7825,3.0134,13.7050,6.9732,9.2308,8.8764,12.7214,,4.4906,10.76,0.15%,http://fund.eastmoney.com/	005004.html
hh,	000216,华安黄金易ETF联接A,2020-04-24,1.3940,1.3940,0.6135,2.9314,6.9428,9.5912,11.9949,36.3192,39.1079,32.1202,11.8242,39.40,0.06%,http://fund.eastmoney.com/	000216.html
