code,name,fund_type,label,time,stock_code,stock_name,stock_proportion,stock_amount,stock_value
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	603517,绝味食品,9.93%,107.49,"5,562.47"
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	300558,贝达药业,7.82%,62.41,"4,381.19"
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	002541,鸿路钢构,7.66%,286.46,"4,291.17"
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	603228,景旺电子,7.43%,95.19,"4,164.68"
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	603708,家家悦,6.80%,117.88,"3,807.60"
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	001914,招商积余,4.99%,118.47,"2,794.71"
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	002597,金禾实业,4.81%,133.19,"2,695.77"
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	603018,中设集团,4.72%,192.07,"2,646.70"
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	002912,中新赛克,4.20%,15.62,"2,351.28"
	001218,国投瑞银精选收益混合,hh,2020年1季度股票投资明细,2020-03-31,	002968,新大正,3.78%,32.84,"2,118.18"
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	300014,亿纬锂能,6.88%,12.79,743.23
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	002291,星期六,6.80%,33.09,734.27
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	002475,立讯精密,6.04%,17.09,652.31
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	603986,兆易创新,3.88%,1.73,418.68
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	002555,三七互娱,3.00%,9.93,324.15
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	300122,智飞生物,2.07%,3.32,223.73
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	600276,恒瑞医药,2.06%,2.42,222.71
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	002044,美年健康,1.99%,18.22,215.18
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	300413,芒果超媒,1.99%,4.92,214.46
	004448,博时汇智回报灵活配置混合,hh,2020年1季度股票投资明细,2020-03-31,	300496,中科创达,1.91%,3.93,206.33
