code,name,fund_type,label,time,stock_code,stock_name,stock_proportion,stock_amount,stock_value
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	600019",宝钢股份,20.25%,"1,594.97","12,887.38"
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	600010",包钢股份,9.59%,"3,911.35","6,101.71"
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	000708",中信特钢,6.45%,155.49,"4,105.04"
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	002075",沙钢股份,4.08%,287.8,"2,598.83"
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	000932",华菱钢铁,3.46%,314.2,"2,199.43"
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	600282",南钢股份,2.89%,474.72,"1,837.17"
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	000709",河钢股份,2.84%,767.06,"1,810.26"
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	000778",新兴铸管,2.84%,450.17,"1,809.68"
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	600507",方大特钢,2.84%,202.12,"1,806.96"
"	502023",鹏华国证钢铁行业指数(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	000825",太钢不锈,2.83%,393.63,"1,798.89"
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	600010",包钢股份,0.27%,9.44,10.2
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	600019",宝钢股份,0.24%,1.95,8.89
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	600126",杭钢股份,0.12%,0.45,4.68
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	600022",山东钢铁,0.10%,2.9,3.74
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	600808",马钢股份,0.09%,1.32,3.41
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	600782",新钢股份,0.08%,0.7,2.86
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	600507",方大特钢,0.07%,0.48,2.49
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	600307",酒钢宏兴,0.06%,1.38,2.13
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	601028",玉龙股份,0.05%,0.17,2.05
"	008189",国泰中证钢铁ETF联接A,gp,2020年2季度股票投资明细,2020/6/30,"	600581",八一钢铁,0.03%,0.34,1.04
"	161715",招商大宗商品(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	600392",盛和资源,2.00%,23.44,408.51
"	161715",招商大宗商品(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	000488",晨鸣纸业,1.63%,32.95,333.1
"	161715",招商大宗商品(LOF),gp,2021年1季度股票投资明细,2021/3/31,"	002092",中泰化学,1.60%,35.18,325.79
